"id","Name","Address","Latitude","Longitude","Tel","Image_URL"
5966,정방폭포,제주특별자치도 서귀포시 칠십리로214번길 37,33.2447334,126.5731658,(+82) 064-733-1530,https://api.cdn.visitjeju.net/photomng/imgpath/202110/26/2fbe2537-d3ae-49ef-bedc-8fb65b758e37.jpg
5967,제주절물자연휴양림,제주특별자치도 제주시 명림로 584,33.4302354,126.6227963,(+82) 064-728-1510,https://api.cdn.visitjeju.net/photomng/imgpath/202110/26/e1d8dd62-b18f-4fec-8a00-93d41fdc1e00.jpg
5968,용두암,제주특별자치도 제주시 용두암길 15,33.5150353,126.5119671,(+82) 064-728-3917,https://api.cdn.visitjeju.net/photomng/imgpath/202110/26/4c72b493-2aa9-4ca7-9d87-133f9a16f317.jpg
5969,산방산,제주특별자치도 서귀포시 안덕면 사계리 산 16,33.2423934,126.3139575,(+82) 064-794-2940,https://api.cdn.visitjeju.net/photomng/imgpath/202110/26/52961208-e2c5-49f0-b92f-1c2dd3050ed0.jpg
5970,다랑쉬오름,제주특별자치도 제주시 구좌읍 세화리 2705,33.4750154,126.8265175,(+82) 064-740-6000,https://api.cdn.visitjeju.net/photomng/imgpath/202110/26/f3c7318f-c5d3-4841-9126-2763ef41bc02.jpg
5971,한림공원,제주특별자치도 제주시 한림읍 한림로 300(협재리),33.3845421,126.258914,(+82) 064-796-0001,https://api.cdn.visitjeju.net/photomng/imgpath/202110/26/d2ddf361-0bab-4f78-82bb-328d2ef34c4c.jpg
5972,더럭초등학교,제주특별자치도 제주시 애월읍 하가로 195,33.4534199,126.3455274,(+82) 064-797-7200,https://api.cdn.visitjeju.net/photomng/imgpath/202110/26/78d169ec-9841-4adc-9d65-a42a765a3126.jpg
5973,외돌개,제주특별자치도 서귀포시 서홍동 791,33.2400761,126.5456641,(+82) 064-760-3192,https://api.cdn.visitjeju.net/photomng/imgpath/202110/26/7330f145-125e-4ee4-a1c5-05826a8fefe7.jpg
5974,천제연폭포,제주특별자치도 서귀포시 천제연로 132(중문동),33.2522307,126.4183698,(+82) 064-760-6331,https://api.cdn.visitjeju.net/photomng/imgpath/202110/27/617daa5f-d818-47c1-b80d-59f45e96371b.jpg
5975,방주교회,제주특별자치도 서귀포시 안덕면 산록남로762번길 113,33.3051258,126.3872587,(+82) 064-794-0611,https://api.cdn.visitjeju.net/photomng/imgpath/202110/27/82d01180-9d60-4075-b173-123f683967df.jpg
5976,중문색달해수욕장,제주특별자치도 서귀포시 중문관광로72번길 29-51,33.2459369,126.4126699,(+82) 064-738-4843,https://api.cdn.visitjeju.net/photomng/imgpath/202110/27/556922ec-6ca6-40fd-8c6f-e7e3c74b195e.jpg
5977,가파도,제주특별자치도 서귀포시 대정읍 가파리,33.1697336,126.271453,(+82) 064-794-7130,https://api.cdn.visitjeju.net/photomng/imgpath/202110/27/ff5e6559-2f29-4008-b9b9-228fea1506db.jpg
5978,이호테우말등대,제주특별자치도 제주시 서해안로 58,33.5021517,126.4564112,(+82) --,https://api.cdn.visitjeju.net/photomng/imgpath/202110/27/aad1d1be-cd38-4a9b-8d38-b7d5506ef8d2.jpg
5979,성이시돌목장,제주특별자치도 제주시 한림읍 산록남로 53,33.3459727,126.3215552,(+82) 064-796-0396,https://api.cdn.visitjeju.net/photomng/imgpath/202110/28/7536bf5f-cbe8-450b-a1d5-4c9dbf8777c1.jpg
5980,비양도,제주특별자치도 제주시 한림읍 협재리,33.3819398,126.2497525,(+82) 064-796-3515,https://api.cdn.visitjeju.net/photomng/imgpath/202110/28/65f22e67-299c-444b-b2ae-1c2d7bd29d05.jpg
5981,신창~차귀해안도로,제주특별자치도 제주시 한경면 한경해안로 470,33.3418314,126.1713251,(+82) --,https://api.cdn.visitjeju.net/photomng/imgpath/202110/27/e4c9d38e-9686-4cc2-b10c-cdb0c408c695.jpg
5982,제주김녕미로공원,제주특별자치도 제주시 구좌읍 만장굴길 122,33.5365838,126.7723967,(+82) 064-782-9266,https://api.cdn.visitjeju.net/photomng/imgpath/202110/27/57f606e2-02b7-428e-aa5c-af10393e968c.jpg
5983,휴애리 자연생활공원,"제주특별자치도 서귀포시 남원읍 신례동로 256 (신례리, 휴애리)",33.3087565,126.6337938,(+82) 064-732-2114,https://api.cdn.visitjeju.net/photomng/imgpath/202308/29/f19ecab3-bb63-4b11-b4bf-dfc1f3e7f1fb.jpg
5984,주상절리대,제주특별자치도 서귀포시 이어도로 36-30,33.2380161,126.4263264,(+82) 064-738-1521,https://api.cdn.visitjeju.net/photomng/imgpath/202110/28/70751b59-425f-428e-834f-eb9255c25878.jpg
5985,검멀레해변,제주특별자치도 제주시 우도면 우도해안길,33.5065528,126.9549021,(+82) 064-728-3394,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/4ff89205-1953-41c0-92d9-19a858d42f1f.jpg
5986,애월한담해안산책로,제주특별자치도 제주시 애월읍 곽지리 1359,33.4590784,126.3105376,(+82),https://api.cdn.visitjeju.net/photomng/imgpath/202110/28/6a66021a-e571-4ebb-8ddd-2f42ceb46c9c.jpg
5987,만장굴,제주특별자치도 제주시 구좌읍 만장굴길 182,33.5281972,126.7717618,(+82) 064-710-7903,https://api.cdn.visitjeju.net/photomng/imgpath/202110/28/a08aea81-f7f3-44b6-92e4-bd0ddb6aec7b.jpg
5988,황우지해안,제주특별자치도 서귀포시 서홍동 766-1,33.2415758,126.5497676,(+82) 064-760-4601,https://api.cdn.visitjeju.net/photomng/imgpath/202110/29/c8f5c2a3-8e9a-431c-aa72-a7240bca953a.jpg
5989,리치망고,제주특별자치도 제주시 애월읍 애월해안로 272,33.4685525,126.3401526,(+82) 070-4243-5959,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/0723ccb3-2338-48a9-921f-0cf79296c5e5.jpg
5990,백약이오름,제주특별자치도 서귀포시 표선면 성읍리 산 1,33.437224,126.790195,(+82),https://api.cdn.visitjeju.net/photomng/imgpath/202110/29/d5f5f477-6309-4278-99a7-cead96f108c2.jpg
5991,노리매공원,제주특별자치도 서귀포시 대정읍 중산간서로 2260-15,33.2831505,126.2873239,(+82) 064-792-8211,https://api.cdn.visitjeju.net/photomng/imgpath/202110/29/7228ed95-6f1d-4ee9-9f3b-b825f2f1d44d.jpg
5992,보롬왓,제주특별자치도 서귀포시 표선면 번영로 2350-104,33.4134884,126.7525669,(+82) 064-742-8181,https://api.cdn.visitjeju.net/photomng/imgpath/202111/01/8d53044e-93fc-48aa-bc43-2f6fa270026b.jpg
5993,관덕정,제주특별자치도 제주시 관덕로 19,33.5133704,126.5214334,(+82) 064-710-6718,https://api.cdn.visitjeju.net/photomng/imgpath/202110/29/a5053016-d4e9-4b0e-a7d8-d23e548fdbf6.jpg
5994,새연교,제주특별자치도 서귀포시 서홍동 707-4,33.2385309,126.5588868,(+82) 064-760-3471,https://api.cdn.visitjeju.net/photomng/imgpath/202110/29/267b26b2-c93f-4550-a666-960d51b7d03c.jpg
5995,표선해수욕장,제주특별자치도 서귀포시 표선면 표선리,33.324883,126.8245979,(+82) 064-760-4992,https://api.cdn.visitjeju.net/photomng/imgpath/202110/29/e471c831-f6a4-45b7-a525-3d3eed6e257a.jpg
5996,메이즈랜드,제주특별자치도 제주시 구좌읍 비자림로 2134-47,33.4743111,126.7771579,(+82) 064-784-3838,https://api.cdn.visitjeju.net/photomng/imgpath/202110/29/9556b196-a783-47c8-a600-a7d9472e00ff.jpg
5997,제주국제공항,제주특별자치도 제주시 공항로 2,33.507781,126.4931329,(+82) -1661-2626,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/94a962f3-eb05-488f-8881-aae90b63ae92.jpg
5998,윗세오름,제주특별자치도 제주시 애월읍 광령리 산 183-1,33.4034138,126.4508866,(+82) 064-713-9950,https://api.cdn.visitjeju.net/photomng/imgpath/202111/01/975de7f7-f63a-46c1-9ede-7b8567fc51b1.jpg
5999,제주동백수목원,제주특별자치도 서귀포시 남원읍 위미리 927,33.302706,126.6568975,(+82) 064-764-4473,https://api.cdn.visitjeju.net/photomng/imgpath/202111/01/9b010bd6-4227-4168-a16a-c42c7b5ebc98.jpg
6000,김영갑갤러리 두모악,제주특별자치도 서귀포시 성산읍 삼달로 137,33.3719327,126.8543753,(+82) 064-784-9907,https://api.cdn.visitjeju.net/photomng/imgpath/202111/01/dc39f987-273e-4298-9597-6b7add016e66.jpg
6001,따라비오름,제주특별자치도 서귀포시 표선면 가시리 산 62,33.3828211,126.7313785,(+82),https://api.cdn.visitjeju.net/photomng/imgpath/202111/01/3040195a-20e8-4acb-bffa-582e955528c2.jpg
6002,백록담,제주특별자치도 서귀포시 토평동 산 15-1,33.3469018,126.5354546,(+82) 064-756-9950~1,https://api.cdn.visitjeju.net/photomng/imgpath/202111/01/8535ec6b-571c-4389-8ab6-45cc55fe0c31.jpg
6003,중문관광단지,제주특별자치도 서귀포시 중문관광로72번길 35,33.2482702,126.4104128,(+82),https://api.cdn.visitjeju.net/photomng/imgpath/202111/01/5a5f78ee-1824-4865-9865-261b94f3b45a.jpg
6004,하고수동해변,제주특별자치도 제주시 우도면 연평리,33.5054213,126.9554832,(+82) 064-728-4352,https://api.cdn.visitjeju.net/photomng/imgpath/202111/01/13cf81b4-fa92-427d-b7f7-761121cd53dd.jpg
6005,제주돌문화공원,제주특별자치도 제주시 조천읍 남조로 2023,33.4373391,126.6668484,(+82) 064-710-7731~3,https://api.cdn.visitjeju.net/photomng/imgpath/202111/01/2dfd0d7a-d1a3-407b-b37f-4bb76326664d.jpg
6006,삼양해수욕장,제주특별자치도 제주시 삼양동,33.5152875,126.5914354,(+82) 064-728-3991,https://api.cdn.visitjeju.net/photomng/imgpath/202111/01/4e787c6e-ae9c-46b1-b740-5b287cbab936.jpg
6007,아침미소목장,제주특별자치도 제주시 첨단동길 160-20,33.4544337,126.5864979,(+82) 064-727-2545,https://api.cdn.visitjeju.net/photomng/imgpath/202111/01/2a1e1dce-283e-451e-b345-befd0844660c.jpg
6008,선녀와나무꾼,제주특별자치도 제주시 조천읍 선교로 267,33.4790107,126.7034736,(+82) 064-784-9001,https://api.cdn.visitjeju.net/photomng/imgpath/202111/01/6e65a0aa-e71f-40be-a87f-a3c5e425a1a5.jpg
6009,마방목지,제주특별자치도 제주시 516로 2480,33.4283922,126.6061215,(+82) 064-710-7942,https://api.cdn.visitjeju.net/photomng/imgpath/202111/01/b9e5e368-d281-4efe-8715-3f877f41c4ae.jpg
6010,아끈다랑쉬,제주특별자치도 제주시 구좌읍 세화리 2593,33.4754137,126.8302981,(+82),https://api.cdn.visitjeju.net/photomng/imgpath/202111/01/8f9111cf-cfed-40db-ae2b-aef8cf510baa.jpg
6011,함덕백사장 & 서우봉,제주특별자치도 제주시 조천읍 조함해안로 519-10,33.5437787,126.6688353,(+82) --,https://api.cdn.visitjeju.net/photomng/imgpath/202111/02/c8386e71-da53-42af-a96c-e4166b6cd108.jpg
6012,용담/용두암 해안도로,제주특별자치도 제주시 서해안로 687-8,33.5155001,126.5120785,(+82) --,https://api.cdn.visitjeju.net/photomng/imgpath/202111/02/a89d9c09-bd2c-4c91-8254-8ee60ac7f6cf.jpg
6013,차귀도,제주특별자치도 제주시 한경면 고산리 125,33.3011544,126.2055959,(+82) 064-772-3224,https://api.cdn.visitjeju.net/photomng/imgpath/202111/02/0b7fa5b9-7bdc-4654-b203-a4778d7603e1.jpg
6014,쇠소깍해변,제주특별자치도 서귀포시 하효동,33.2543893,126.6170647,(+82) 064-760-2772,https://api.cdn.visitjeju.net/photomng/imgpath/202111/02/3c9fe713-8552-4e6e-a9c4-259667e54288.jpg
6015,이중섭거리,제주특별자치도 서귀포시 이중섭로 4-1 (서귀동),33.2476426,126.5640314,(+82) --,https://api.cdn.visitjeju.net/photomng/imgpath/202111/02/4eb51920-87c0-47ca-a546-390acae6336c.jpg
6016,여미지식물원,제주특별자치도 서귀포시 중문관광로 93,33.2531755,126.4149952,(+82) 064-735-1100,https://api.cdn.visitjeju.net/photomng/imgpath/202111/02/a9d11a6c-350f-4574-a697-ed9f65df1f81.jpg
6017,월령선인장군락지,제주특별자치도 제주시 한림읍 월령리 359-4,33.3778793,126.2154381,(+82) 064-796-2589,https://api.cdn.visitjeju.net/photomng/imgpath/202111/02/b24967a2-fb3e-423d-a0ab-6005089f36e1.jpg
6018,아부오름,제주특별자치도 제주시 구좌읍 송당리 산 164-1,33.4476259,126.7772967,(+82),https://api.cdn.visitjeju.net/photomng/imgpath/202111/02/8d5e9865-580e-465c-86f1-dd3240b31f14.jpg
6019,우도 비양도,제주특별자치도 제주시 우도면 연평리,33.5054213,126.9554832,(+82) --,https://api.cdn.visitjeju.net/photomng/imgpath/202111/02/4efe264d-d42e-461d-9f3e-64d8c780c3b6.jpg
6020,너븐숭이 4.3기념관,제주특별자치도 제주시 조천읍 북촌3길 3,33.5460649,126.6886038,(+82) 064-783-4303,https://api.cdn.visitjeju.net/photomng/imgpath/202111/02/d08d1d36-b825-4082-bda5-70a48a4af780.jpg
6021,거문오름,제주특별자치도 제주시 조천읍 선교로 569-36,33.4569963,126.7143064,(+82) 064-710-8981,https://api.cdn.visitjeju.net/photomng/imgpath/202111/02/7089c5eb-db83-4855-864f-46b77e8ae474.jpg
6022,제주민속촌,제주특별자치도 서귀포시 표선면 민속해안로 631-34,33.3225098,126.8418176,(+82) 064-787-4501,https://api.cdn.visitjeju.net/photomng/imgpath/202111/03/d29f62d6-6609-4dd2-b79b-1aadf1de404e.jpg
6023,제주유리의성,제주특별자치도 제주시 한경면 녹차분재로 462,33.314546,126.2739234,(+82) 064-772-7777,https://api.cdn.visitjeju.net/photomng/imgpath/202111/02/f2f03b1f-7353-480e-ac9e-0065206113ae.jpg
6024,녹산로유채꽃길,제주특별자치도 서귀포시 표선면 가시리 산 87-15,33.3828211,126.7313785,(+82) --,https://api.cdn.visitjeju.net/photomng/imgpath/202111/02/de9bff1b-ebd5-4aaa-9a95-e1b9203aec07.jpg
6025,소인국테마파크,제주특별자치도 서귀포시 안덕면 중산간서로 1878,33.2903957,126.3226207,(+82) 064-793-5400,https://api.cdn.visitjeju.net/photomng/imgpath/202111/03/c3ab4488-9945-4722-878d-1b34e696eb70.jpg
6026,오라동 청보리-메밀꽃밭,제주특별자치도 제주시 오라2동 산 76,33.4271581,126.5057837,(+82) 064-711-9700,https://api.cdn.visitjeju.net/photomng/imgpath/202111/03/a3b400d2-5512-440c-9728-3a9b12e4f2e6.jpg
6027,렛츠런팜제주,제주특별자치도 제주시 조천읍 남조로 1660,33.4181589,126.6814211,(+82) 064-780-0131,https://api.cdn.visitjeju.net/photomng/imgpath/202111/03/fc9edd53-86e0-4b92-8caa-2029ea9a491b.jpg
6028,하도해변,제주특별자치도 제주시 구좌읍 해맞이해안로,33.5290971,126.8463777,(+82) 064-728-7783,https://api.cdn.visitjeju.net/photomng/imgpath/202111/03/f9c5b5eb-e65a-47c4-885c-cdd20ec1e492.jpg
6029,수월봉 지질트레일,제주특별자치도 제주시 한경면 노을해안로 1013-70,33.2938791,126.1628663,(+82) 064-772-3334,https://api.cdn.visitjeju.net/photomng/imgpath/202111/03/3b8ce584-e716-4ff5-b7d6-7808c5fb61a2.jpg
6030,항파두리항몽유적지,제주특별자치도 제주시 애월읍 항파두리로 50,33.4525581,126.4078884,(+82) 064-710-6726,https://api.cdn.visitjeju.net/photomng/imgpath/202111/04/88acdfbb-9319-467d-a9c2-a9fdb059a902.jpg
6031,헬로키티아일랜드,제주특별자치도 서귀포시 안덕면 한창로 340,33.290091,126.352092,(+82) 064-792-6114,https://api.cdn.visitjeju.net/photomng/imgpath/202111/03/44571406-0871-49e6-b945-a5a108bc2b34.jpg
6032,본태박물관,제주특별자치도 서귀포시 안덕면 산록남로762번길 69,33.3038302,126.3925024,(+82) 064-792-8108,https://api.cdn.visitjeju.net/photomng/imgpath/202210/20/756e69b1-6128-4d5c-b7f0-72f7878439ab.jpg
6033,제주러브랜드,제주특별자치도 제주시 1100로 2894-72,33.4517135,126.4901715,(+82) 064-712-6988,https://api.cdn.visitjeju.net/photomng/imgpath/202111/03/70c92f91-0252-461c-b10e-d0bf4f6641a0.jpg
6034,한담해변,제주특별자치도 제주시 애월읍 애월로1길 26-4,33.462749,126.3100651,(+82) 064-728-3394,https://api.cdn.visitjeju.net/photomng/imgpath/202111/04/95aedd7c-39fe-4514-ab6a-3009baa63a46.jpg
6035,안덕계곡,제주특별자치도 서귀포시 안덕면 일주서로 1524,33.258442,126.3529777,(+82) 064-710-6653,https://api.cdn.visitjeju.net/photomng/imgpath/202111/03/32b816d5-c8f9-4f62-ada2-9e72c9212ecd.jpg
6036,제주조천스위스마을,제주특별자치도 제주시 조천읍 함와로 566-27,33.494259,126.6772568,(+82) 010-6847-8488,https://api.cdn.visitjeju.net/photomng/imgpath/202111/04/f3e56270-917c-4d28-9fb5-ff7e1c3f20bd.jpg
6037,박물관은 살아있다,제주특별자치도 서귀포시 중문관광로 42,33.254854,126.4092614,(+82) 064-805-0888,https://api.cdn.visitjeju.net/photomng/imgpath/202111/04/989af142-a67d-4f2e-9fa2-68259f5e8f46.jpg
6038,용연,제주특별자치도 제주시 흥운길 73,33.5152142,126.5139637,(+82) 064-728-3917,https://api.cdn.visitjeju.net/photomng/imgpath/202111/04/2ec622b2-072b-4ad7-83aa-d60bc2ba1c27.jpg
6039,제주레일바이크,제주특별자치도 제주시 구좌읍 용눈이오름로 641,33.4646218,126.8369517,(+82) 064-783-0033,https://api.cdn.visitjeju.net/photomng/imgpath/202111/04/bbcd9fd9-519f-4265-ad56-fbbda40731b3.jpg
6040,군산,제주특별자치도 서귀포시 안덕면 창천리 산 3-1,33.2518397,126.3681097,(+82) --,https://api.cdn.visitjeju.net/photomng/imgpath/202111/04/8c6bb6b7-952d-4229-89c1-40977272a23f.jpg
6041,서우봉,제주특별자치도 제주시 조천읍 함덕리 169-1,33.5453632,126.6775414,(+82),https://api.cdn.visitjeju.net/photomng/imgpath/202111/05/d8d43736-451f-4e0d-92b1-47e8a3cdbc14.jpg
6042,성읍민속마을,제주특별자치도 서귀포시 표선면 성읍정의현로 19,33.3844862,126.8003558,(+82) 064-710-6797,https://api.cdn.visitjeju.net/photomng/imgpath/202111/04/5fa2396f-e1cf-4382-a73a-c839395589c4.jpg
6043,한라산어리목코스,제주특별자치도 제주시 1100로 2070-61,33.3917738,126.4945012,(+82) 064-713-9950,https://api.cdn.visitjeju.net/photomng/imgpath/202111/04/281740f1-1de1-49f5-9b0f-b258908208c4.jpg
6044,마노르블랑,서귀포시 안덕면 일주서로2100번길 46,33.2542777,126.2945292,(+82) 0507-1339-1049,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/7dc38c4b-4aeb-4779-9091-b5d7821af0d5.jpg
6045,김경숙해바라기농장,제주특별자치도 제주시 번영로 854-1,33.477406,126.62762,(+82) 064-721-1482,https://api.cdn.visitjeju.net/photomng/imgpath/202111/04/1300a77e-29f6-49b2-a572-b15fcfca849c.jpg
6046,남원큰엉해변,제주특별자치도 서귀포시 남원읍 태위로 522-17,33.273292,126.7034612,(+82) --,https://api.cdn.visitjeju.net/photomng/imgpath/202111/05/57b93772-d23e-4249-891f-251ed136d600.jpg
6047,선운정사,제주특별자치도 제주시 애월읍 구몰동길 65,33.4293512,126.3070877,(+82) 064-799-8588,https://api.cdn.visitjeju.net/photomng/imgpath/202111/04/5dcae042-5d16-4226-8dfc-d0636f1a96ad.jpg
6048,세계자동차 & 피아노박물관,제주특별자치도 서귀포시 안덕면 중산간서로 1610,33.283212,126.3499189,(+82) 064-792-3000,https://api.cdn.visitjeju.net/photomng/imgpath/202111/04/36a5973b-eff2-480e-9f13-6f16357b6e8f.jpg
6049,우도등대,제주특별자치도 제주시 우도면 우도봉길 105,33.4928776,126.9654349,(+82) 064-783-0180,https://api.cdn.visitjeju.net/photomng/imgpath/202111/05/4325acd9-d1a2-4338-8450-33531fb4d746.jpg
6050,환상숲 곶자왈공원,제주특별자치도 제주시 한경면 녹차분재로 594-1,33.3229494,126.263523,(+82) 064-772-2488,https://api.cdn.visitjeju.net/photomng/imgpath/202212/07/7b8bd35e-c177-49b2-b2ac-50dcda475684.jpg
6051,소금빵까페 키친오즈,제주시 한림읍 협재로 208,33.3801448,126.2510499,(+82) 064-796-7165,https://api.cdn.visitjeju.net/photomng/imgpath/201910/17/291ed1f7-5bfb-4334-8620-70798c64b87b.jpg
6052,섯알오름,제주특별자치도 서귀포시 대정읍 상모리 1618,33.2041823,126.281552,(+82),https://api.cdn.visitjeju.net/photomng/imgpath/202111/05/27b7cd3d-559d-4440-9c45-dba5492c6d17.jpg
