Name,Address,Latitude,Longitude,Tel,Image_URL
살롱드라방 SALON de LAVANT,제주특별자치도 제주시 애월읍 하가로 146-9,33.4578188,126.3489316,(+82) 070-7797-3708,"""https://api.cdn.visitjeju.net/photomng/imgpath/201910/28/2a06c619-ada6-413b-99d0-71073e610318.jpg"""
우도 풍원,제주특별자치도 제주시 우도면 우도해안길 340,33.5084672,126.9440879,(+82) 064-784-1894,"""https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/763d8c1d-bb44-4922-bb54-e7f224a2d52f.jpg"""
카페세바,제주특별자치도 제주시 조천읍 선흘동2길 20-7,33.5133196,126.706047,(+82) 010-5363-1230,"""https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/cabed09b-122e-44db-a69d-b2b52c603886.jpg"""
고집돌우럭,제주특별자치도 서귀포시 일주서로 879,33.2579173,126.4168242,(+82) 0507-1408-1540,"""https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/9b5b51b0-dc20-4138-95f4-f32e69d41ce9.jpg"""
국수의전설,제주특별자치도 서귀포시 효돈로 108,33.2634678,126.61037,(+82) 064-733-7101,"""https://api.cdn.visitjeju.net/photomng/imgpath/201910/11/3eac3221-5f55-4d95-aba3-e615cfb0a056.jpg"""
맛나식당,제주특별자치도 서귀포시 성산읍 동류암로 43,33.4486021,126.9158529,(+82) 064-782-4771,"""https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/e225b187-d007-4ab3-a7e9-698c4f75442b.jpg"""
산방식당,제주특별자치도 서귀포시 대정읍 하모이삼로 62,33.2234599,126.2542981,(+82) 064-794-2165,"""https://api.cdn.visitjeju.net/photomng/imgpath/202212/07/00b8abdf-178b-443b-97fa-2091312a385b.jpg"""
피어22,제주특별자치도 제주시 한림읍 금능7길 22,33.3899216,126.227792,(+82) 0507-1372-7788,"""https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/039da1b6-ba6f-4844-a0c7-5112a509cb19.jpg"""
한림칼국수,제주특별자치도 제주시 한림읍 한림해안로 139,33.4155727,126.2615076,(+82) 070-8900-3339,"""https://api.cdn.visitjeju.net/photomng/imgpath/202201/10/3db8b2d3-d55d-4ef2-a8c6-dd14a757906b.jpg"""
경미네집,제주특별자치도 서귀포시 성산읍 일출로 259,33.4612917,126.9333385,(+82) 064-782-2671,"""https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/9fd2bbaa-8c4a-4d61-ad92-ecdd88cab9e0.jpg"""
국수마당 본점,제주특별자치도 제주시 삼성로 65,33.5080946,126.5322173,(+82) 064-727-6001,"""https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/c7d1936f-cab4-45a4-b89e-04492f5a5c08.jpg"""
국수바다 본점,제주특별자치도 서귀포시 일주서로 982,33.2584937,126.4059714,(+82) 064-739-9255,"""https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/44609f5c-59b0-4d9a-b147-29f0bbd6914e.jpg"""
미친부엌,제주특별자치도 제주시 탑동로 15,33.5170061,126.523159,(+82) 064-721-6382,"""https://api.cdn.visitjeju.net/photomng/imgpath/202110/25/a757b88a-20e6-4649-9300-f9cb3ac04eb8.jpg"""
유동커피,제주특별자치도 서귀포시 태평로 406-2,33.2444903,126.5638733,(+82) 064-733-6662,"""https://api.cdn.visitjeju.net/photomng/imgpath/202110/25/44e3ea55-d9a7-49e8-816a-bc5f25c5c7a1.jpg"""
교래손칼국수,제주특별자치도 제주시 조천읍 비자림로 645,33.4362437,126.6757682,(+82) 064-782-9870,"""https://api.cdn.visitjeju.net/photomng/imgpath/202110/25/8770a46d-6bd0-4890-b66f-af223b4c9125.jpg"""
동복리해녀촌,제주특별자치도 제주시 구좌읍 동복로 33,33.5536374,126.7098896,(+82) 064-783-5438,"""https://api.cdn.visitjeju.net/photomng/imgpath/202110/26/85105832-f0d3-45d4-a644-9cbaaf288918.jpg"""
명당양과,제주특별자치도 제주시 원노형로 83,33.4812912,126.4849474,(+82) 0507-1347-1848,"""https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/92046174-afa4-4595-9b9f-63ae0b6e6ee0.jpg"""
복자씨연탄구이,제주특별자치도 서귀포시 성산읍 해맞이해안로 2764,33.4691923,126.9198574,(+82) 064-782-7330,"""https://api.cdn.visitjeju.net/photomng/imgpath/202110/28/f8a7bc5a-226e-46f7-8edb-81cbd7dca84e.jpg"""
사형제횟집,제주특별자치도 제주시 한림읍 한림상로 273,33.4224164,126.2663473,(+82) 0507-1311-8709,"""https://api.cdn.visitjeju.net/photomng/imgpath/202110/26/b416730d-1b27-430d-bdfb-38744d8a6dd8.jpg"""
양가형제,제주특별자치도 제주시 한경면 청수동8길 3,33.3073191,126.2539604,(+82) 0507-1405-7734,"""https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/a4cff7ec-a67c-493b-aad8-38bfcae41f09.jpg"""
어진이네 횟집,제주특별자치도 서귀포시 보목포로 93,33.2409712,126.6108298,(+82) 064-732-7442,"""https://api.cdn.visitjeju.net/photomng/imgpath/202301/27/53d3db14-a457-4f26-adbb-ad89d98a2ded.jpg"""
연미정,제주특별자치도 제주시 세평항로 14,33.5246567,126.853821,(+82) 064-784-8856,"""https://api.cdn.visitjeju.net/photomng/imgpath/202110/26/d105ca69-b12a-4a6f-b3a9-7a9f6c55db06.jpg"""
웅스키친,제주특별자치도 제주시 대동길 17-1,33.4932286,126.4637237,(+82) 064-784-1163,"""https://api.cdn.visitjeju.net/photomng/imgpath/201910/02/5d3024b5-c91b-41ee-89df-b88e0da64cec.jpg"""
월정리에서브런치,제주특별자치도 제주시 구좌읍 월정3길 53-4,33.5560993,126.7948545,(+82) 064-782-2262,"""https://api.cdn.visitjeju.net/photomng/imgpath/202110/27/1650b149-11b6-4715-9f05-e868abf354d3.jpg"""
톰톰카레,제주특별자치도 제주시 구좌읍 해맞이해안로 1112,33.5290971,126.8463777,(+82) 0507-1461-1535,"""https://api.cdn.visitjeju.net/photomng/imgpath/202110/27/2eb9d333-90cb-4d5b-9745-9f915f0d2045.jpg"""
해월정,제주특별자치도 제주시 구좌읍 해맞이해안로 2340,33.5290971,126.8463777,(+82) 064-782-5664,"""https://api.cdn.visitjeju.net/photomng/imgpath/202110/28/d16f4fbb-7a53-4efb-bc9d-281ffd7e253d.jpg"""
메종드쁘띠푸루,제주특별자치도 제주시 신설로7길 3,33.4923945,126.5434099,(+82) 064-702-0919,"""https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/abfc87f9-ca16-4ad6-8a10-7f6fc9480be6.jpeg"""
목포고을,제주특별자치도 서귀포시 일주서로 968-5,33.2584022,126.4070695,(+82) 064-738-5551,"""https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/aa49b0fa-a4dc-4ec8-a7bf-48faff31eb21.jpg"""
바다속고등어쌈밥,제주특별자치도 제주시 애월읍 일주서로 7089,33.4842849,126.4068335,(+82) 0507-1479-6466,"""https://api.cdn.visitjeju.net/photomng/imgpath/201910/14/06656cc6-f002-4c71-ad0c-18402811255b.jpg"""
바람벽에흰당나귀,제주특별자치도 제주시 구좌읍 동복로 11,33.5537422,126.7075079,(+82) 064-782-8611,"""https://api.cdn.visitjeju.net/photomng/imgpath/202203/11/60f8231e-8cd9-41ae-ae22-0f3df748127c.jpg"""
서광춘희,제주특별자치도 서귀포시 안덕면 화순서동로 367,33.283424,126.33167,(+82) 064-792-8911,"""https://api.cdn.visitjeju.net/photomng/imgpath/202110/28/947c5b7c-fb8d-47eb-8a25-75009801421d.jpg"""
성읍칠십리식당,제주특별자치도 서귀포시 표선면 성읍정의현로 74,33.3892742,126.8011817,(+82) 064-787-0911,"""https://api.cdn.visitjeju.net/photomng/imgpath/202110/29/6c6667b6-3f90-4020-8506-8442bf66c585.jpg"""
에스프레소 라운지,제주특별자치도 제주시 한라대학로 1 (노형동),33.4806338,126.4727714,(+82) 064-712-5151,"""https://api.cdn.visitjeju.net/photomng/imgpath/202110/29/2c3b79fe-543a-4d55-8db0-e7b46e6c57e6.jpg"""
올레7돈,제주특별자치도 서귀포시 월평하원로 20,33.2439283,126.4594553,(+82) 064-739-5533,"""https://api.cdn.visitjeju.net/photomng/imgpath/202110/29/88a5a406-1278-47fa-8126-d5512d1e49c2.jpg"""
중문수두리보말칼국수,제주특별자치도 서귀포시 천제연로 192,33.2515791,126.425044,(+82) 064-739-1070,"""https://api.cdn.visitjeju.net/photomng/imgpath/202301/18/e6dcc28f-d7a8-4bbd-ada3-490f13abaaa9.jpg"""
중앙식당,제주특별자치도 서귀포시 안덕면 화순로 108,33.2467307,126.3348535,(+82) 064-794-9167,"""https://api.cdn.visitjeju.net/photomng/imgpath/202110/29/8a52c361-c311-42ff-9ce9-9c7be80651d3.jpg"""
카페쉼표,제주특별자치도 제주시 한림읍 한림로 359,33.3952701,126.241939,(+82) 064-796-7790,"""https://api.cdn.visitjeju.net/photomng/imgpath/201807/10/a74dbe06-d6f3-4876-afe7-0c21103afe6b.jpg"""
코코마마,제주특별자치도 서귀포시 성산읍 일출로 258-11,33.4610441,126.9342629,(+82) 064-782-5569,"""https://api.cdn.visitjeju.net/photomng/imgpath/202110/29/90a0360c-c98e-4336-95fb-d34ee806d594.jpg"""
노라바,제주시 애월읍 구엄길 100,33.4829842,126.3764916,(+82) 064-772-1900,"""https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/383c3d87-d789-4a59-8a89-743f5226c338.jpg"""
독개물항,제주특별자치도 제주시 한림읍 한림로 478,33.4018776,126.251558,(+82) 064-796-3966,"""https://api.cdn.visitjeju.net/photomng/imgpath/201911/07/39f8c9ff-027e-4099-a6cf-abbbbfdb62b4.jpg"""
레드팬더,제주특별자치도 제주시 신대로18길 51,33.4846239,126.4909845,(+82) 064-745-6410,"""https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/a29dea45-5df1-4011-a74d-a6158c27d8d5.jpg"""
마마롱,제주특별자치도 제주시 애월읍 평화로 2783,33.452185,126.4391941,(+82) 064-747-1074,"""https://api.cdn.visitjeju.net/photomng/imgpath/202111/01/fd997e1d-1c3a-42b9-acdf-95f7bc093965.jpg"""
만덕이네,제주특별자치도 서귀포시 표선면 서성일로 16,33.3933351,126.8011503,(+82) 064-787-3827,"""https://api.cdn.visitjeju.net/photomng/imgpath/202203/11/2e8d3bd5-330d-4e49-bf75-d3093d9a5993.jpg"""
만선식당,제주특별자치도 서귀포시 대정읍 하모항구로 44,33.217849,126.2498585,(+82) 064-794-6300,"""https://api.cdn.visitjeju.net/photomng/imgpath/202201/07/6c519295-7db5-4662-bfd2-214516254dc2.jpg"""
망고홀릭 제주본점,제주 제주시 삼무로5길 2,33.4907356,126.4919831,(+82) 064-746-8778,"""https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/d9bc7e4c-6671-40c7-910a-0955c01974f9.jpg"""
북촌에가면,제주특별자치도 제주시 조천읍 북촌5길 6,33.5480388,126.6925813,(+82) 064-752-1507,"""https://api.cdn.visitjeju.net/photomng/imgpath/202111/03/57569ecf-82b1-474a-ab6b-88bdc14196e4.jpg"""
스시호시카이,제주특별자치도 제주시 오남로 90,33.487834,126.5175746,(+82) 064-713-8838,"""https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/9f0731d7-3c90-49c9-b900-2e1e9ab01524.gif"""
신설오름,제주특별자치도 제주시 고마로17길 2,33.5054457,126.5415639,(+82) 064-758-0143,"""https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/5f9ceb8c-7619-4bd4-b6d5-9a6fc0a63440.jpg"""
신촌덕인당,제주특별자치도 제주시 조천읍 신북로 36,33.5321914,126.6186523,(+82) 064-783-6153,"""https://api.cdn.visitjeju.net/photomng/imgpath/202111/01/984504de-b765-47d1-8146-d5ae9cf0b28c.jpg"""
연화키친,제주특별자치도 제주시 애월읍 상가로 51,33.4489093,126.3439909,(+82) 064-900-9733,"""https://api.cdn.visitjeju.net/photomng/imgpath/202111/02/5db57ea5-0fe4-4a0b-8ff4-efea4bbd4f20.jpg"""
오라숲소리,제주특별자치도 제주시 오라로 80,33.4955216,126.5117879,(+82) 064-744-2545,"""https://api.cdn.visitjeju.net/photomng/imgpath/202111/02/46138fe9-2654-4452-a6da-69288e367065.jpg"""
와랑와랑카페,제주특별자치도 서귀포시 남원읍 위미중앙로300번길 28,33.2722765,126.6764981,(+82) 070-4656-1761,"""https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/5b80ccfc-5afa-4739-bef5-a82ec009b88a.jpg"""
제주미향,제주특별자치도 서귀포시 천제연로 99,33.2550602,126.4163814,(+82) 064-738-8588,"""https://api.cdn.visitjeju.net/photomng/imgpath/202111/02/4cc673b0-5094-47d2-b774-41af3af98a98.jpg"""
지금이순간,제주특별자치도 제주시 애월읍 애월로 15-1,33.4604647,126.3110144,(+82) 064-799-1802,"""https://api.cdn.visitjeju.net/photomng/imgpath/201910/08/4a225d7b-42ea-40a0-9f05-bed7d7cfa924.jpg"""
카이로스,제주특별자치도 제주시 애월읍 장유길 49-39,33.4492928,126.4001638,(+82) 064-799-2299,"""https://api.cdn.visitjeju.net/photomng/imgpath/202111/02/2b513cb3-3aa0-4774-946a-6ba7d6a10607.jpg"""
흑돈가,제주특별자치도 제주시 한라대학로 11,33.4800234,126.4734555,(+82) 064-747-0088,"""https://api.cdn.visitjeju.net/photomng/imgpath/202111/03/9ad374df-b67a-44a6-87db-4e97aeb424cd.jpg"""
흑돼지구이집 하영,제주특별자치도 서귀포시 천제연로 101,33.2550702,126.416574,(+82) 064-738-6011,"""https://api.cdn.visitjeju.net/photomng/imgpath/202111/03/4b488d2d-6ca4-48e9-b2ac-f9a5c566b605.jpg"""
기억나는집,제주특별자치도 서귀포시 중앙로 6,33.245125,126.5622058,(+82) 064-733-8500,"""https://api.cdn.visitjeju.net/photomng/imgpath/202111/03/53fc1c6b-9da8-4e21-8285-2179b72dbb48.jpg"""
김희선몸국,제주특별자치도 제주시 어영길 45-6,33.5185299,126.498041,(+82) 064-745-0047,"""https://api.cdn.visitjeju.net/photomng/imgpath/202111/03/6febf2c8-07b6-470c-94fc-b60e7fca0d77.jpg"""
낭뜰에쉼팡,제주특별자치도 제주시 조천읍 남조로 2343,33.4735811,126.6571543,(+82) 064-784-9292,"""https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/6123bcad-928b-4855-87c1-b9ddf98de946.jpg"""
더파크뷰,제주특별자치도 서귀포시 중문관광로72번길 75,33.2471631,126.4079553,(+82) 064-735-5334,"""https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/f7d2418c-81e5-4256-9db0-4289a0290a0b.jpg"""
랜딩 다이닝,제주특별자치도 서귀포시 안덕면 신화역사로304번길 38 랜딩관 제주신화월드 호텔앤리조트 G층,33.3062895,126.318817,(+82) 064-908-2300,"""https://api.cdn.visitjeju.net/photomng/imgpath/201808/31/fc03994e-f21f-4944-b53b-45340bc672c0.jpg"""
부두식당,제주특별자치도 서귀포시 대정읍 하모항구로 62,33.218926,126.2510054,(+82) 064-794-1223,"""https://api.cdn.visitjeju.net/photomng/imgpath/202111/09/33d05f85-78e0-4930-8edd-1d08f323b5ab.jpg"""
사계바다,제주특별자치도 서귀포시 안덕면 형제해안로 26,33.2278361,126.3037491,(+82) 064-794-5501,"""https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/33f0b176-1258-480c-b054-ae0cced75e19.jpg"""
산도롱맨도롱,제주특별자치도 제주시 용담로 16 2층,33.5132117,126.5044073,(+82) 064-782-5105,"""https://api.cdn.visitjeju.net/photomng/imgpath/202307/13/78c7cedf-6c44-4793-a184-df9d48ab62b3.jpg"""
쌍둥이횟집본점,제주특별자치도 서귀포시 중정로62번길 14,33.2466261,126.5629534,(+82) 064-762-0478,"""https://api.cdn.visitjeju.net/photomng/imgpath/201911/06/797b0ffd-701f-4cf7-a0eb-7f9a1f18ed9e.jpg"""
아라파파 a la papa,제주특별자치도 제주시 국기로3길 2,33.4784728,126.4909204,(+82) 064-725-8204,"""https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/47e80c31-e3d9-4735-93fd-4eaeb05f6d23.jpg"""
오가네전복설렁탕,제주특별자치도 서귀포시 중산간동로 7738,33.268282,126.5895912,(+82) 064-738-9295,"""https://api.cdn.visitjeju.net/photomng/imgpath/202111/10/802d02ac-918d-4aab-ac7f-366c10738869.jpg"""
제주올레냉면 제주노형점,제주특별자치도 제주시 광평동로 19,33.481893,126.4703098,(+82) 064-742-1239,"""https://api.cdn.visitjeju.net/photomng/imgpath/202111/04/648e67e5-8634-48a5-b03b-126ded70f9d2.jpg"""
젠하이드어웨이,제주특별자치도 서귀포시 안덕면 사계남로 186-8,33.229588,126.3085478,(+82) 064-794-0133,"""https://api.cdn.visitjeju.net/photomng/imgpath/202111/05/30eea73e-7444-498c-90f6-471442920734.jpg"""
치저스,제주특별자치도 제주시 구좌읍 비자림로 1785,33.4743111,126.7771579,(+82) 070-7798-1447,"""https://api.cdn.visitjeju.net/photomng/imgpath/202111/05/cd7ce6ed-2b4d-44f2-bfd8-f11dc20d4b83.jpg"""
카페태희,제주특별자치도 제주시 애월읍 곽지3길 27,33.4494216,126.304409,(+82) 064-799-5533,"""https://api.cdn.visitjeju.net/photomng/imgpath/202111/05/f8405c17-c65f-4326-9b7d-7c6d68a917cd.jpg"""
협재해녀의집,제주특별자치도 제주시 한림읍 협재3길 19,33.3988809,126.2439254,(+82) 064-796-7773,"""https://api.cdn.visitjeju.net/photomng/imgpath/202111/05/231c5b46-4ce5-450c-a48f-52fa4c1e3658.jpg"""
88버거,제주특별자치도 서귀포시 동문로 63 (서귀동),33.2492776,126.567167,(+82) 064-733-8488,"""https://api.cdn.visitjeju.net/photomng/imgpath/202201/10/edfbbfe7-6dc4-4d27-aa71-ed0ee34952a2.jpg"""
거멍국수,제주특별자치도 서귀포시 안덕면 사계로114번길 53-14,33.2444338,126.3044052,(+82) 064-792-8787,"""https://api.cdn.visitjeju.net/photomng/imgpath/202111/05/fd4432a5-660d-4eb8-b8fd-e5d406487670.jpg"""
고불락,제주특별자치도 제주시 애월읍 고내로7길 45-12,33.4667429,126.3365337,(+82) 064-799-0393,"""https://api.cdn.visitjeju.net/photomng/imgpath/202111/05/fad0137b-70da-403d-8265-2685152b8f6a.jpg"""
